strategy,scenario,regime,size,run,seed,target_disorder,actual_disorder,operation_count,duration_seconds,valid,timed_out,returncode,bench_strategy,bench_complexity,error
simple,reverse,high,64,2,1020044,1.0,1.0,2144,0.006556806998560205,True,False,0,simple,n^2,
simple,reverse,high,64,3,1020045,1.0,1.0,2144,0.006532684998092009,True,False,0,simple,n^2,
simple,reverse,high,64,4,1020046,1.0,1.0,2144,0.006629090999922482,True,False,0,simple,n^2,
simple,reverse,high,64,5,1020047,1.0,1.0,2144,0.006544028001371771,True,False,0,simple,n^2,
simple,reverse,high,64,6,1020048,1.0,1.0,2144,0.006609609998122323,True,False,0,simple,n^2,
simple,reverse,high,64,7,1020049,1.0,1.0,2144,0.00641956799881882,True,False,0,simple,n^2,
simple,reverse,high,128,1,1030043,1.0,1.0,8384,0.01988489399809623,True,False,0,simple,n^2,
simple,reverse,high,128,2,1030044,1.0,1.0,8384,0.019531355999788502,True,False,0,simple,n^2,
simple,reverse,high,128,3,1030045,1.0,1.0,8384,0.019720935000805184,True,False,0,simple,n^2,
simple,reverse,high,128,4,1030046,1.0,1.0,8384,0.02162339599817642,True,False,0,simple,n^2,
simple,reverse,high,128,5,1030047,1.0,1.0,8384,0.02200969499972416,True,False,0,simple,n^2,
simple,reverse,high,128,6,1030048,1.0,1.0,8384,0.019601485997554846,True,False,0,simple,n^2,
simple,reverse,high,128,7,1030049,1.0,1.0,8384,0.01999322200208553,True,False,0,simple,n^2,
simple,reverse,high,256,1,1040043,1.0,1.0,33152,0.07503330899999128,True,False,0,simple,n^2,
simple,reverse,high,256,2,1040044,1.0,1.0,33152,0.07860586799870362,True,False,0,simple,n^2,
simple,reverse,high,256,3,1040045,1.0,1.0,33152,0.07407273399803671,True,False,0,simple,n^2,
simple,reverse,high,256,4,1040046,1.0,1.0,33152,0.06862799399823416,True,False,0,simple,n^2,
simple,reverse,high,256,5,1040047,1.0,1.0,33152,0.07029938900086563,True,False,0,simple,n^2,
simple,reverse,high,256,6,1040048,1.0,1.0,33152,0.07159856199723436,True,False,0,simple,n^2,
simple,reverse,high,256,7,1040049,1.0,1.0,33152,0.07021248099772492,True,False,0,simple,n^2,
medium,random,random,16,1,10000043,,0.5,65,0.0021311739983502775,True,False,0,medium,n*sqrt(n),
medium,random,random,16,2,10000044,,0.575,68,0.0020250590023351833,True,False,0,medium,n*sqrt(n),
medium,random,random,16,3,10000045,,0.5,75,0.0020402629997988697,True,False,0,medium,n*sqrt(n),
medium,random,random,16,4,10000046,,0.4166666666666667,66,0.00214899599814089,True,False,0,medium,n*sqrt(n),
medium,random,random,16,5,10000047,,0.55,64,0.002970315999846207,True,False,0,medium,n*sqrt(n),
medium,random,random,16,6,10000048,,0.45,70,0.002396006999333622,True,False,0,medium,n*sqrt(n),
medium,random,random,16,7,10000049,,0.575,71,0.002263695998408366,True,False,0,medium,n*sqrt(n),
medium,random,random,32,1,10010043,,0.5725806451612904,200,0.0025260820002586115,True,False,0,medium,n*sqrt(n),
medium,random,random,32,2,10010044,,0.5504032258064516,213,0.002509434001694899,True,False,0,medium,n*sqrt(n),
medium,random,random,32,3,10010045,,0.4959677419354839,206,0.002444054000079632,True,False,0,medium,n*sqrt(n),
medium,random,random,32,4,10010046,,0.41330645161290325,191,0.002456400001392467,True,False,0,medium,n*sqrt(n),
medium,random,random,32,5,10010047,,0.41935483870967744,189,0.0024638590002723504,True,False,0,medium,n*sqrt(n),
medium,random,random,32,6,10010048,,0.5120967741935484,195,0.0024665620003361255,True,False,0,medium,n*sqrt(n),
medium,random,random,32,7,10010049,,0.5584677419354839,201,0.0025195239977620076,True,False,0,medium,n*sqrt(n),
medium,random,random,64,1,10020043,,0.4489087301587302,551,0.0033693709992803633,True,False,0,medium,n*sqrt(n),
medium,random,random,64,2,10020044,,0.5133928571428571,566,0.0034676159993978217,True,False,0,medium,n*sqrt(n),
medium,random,random,64,3,10020045,,0.5446428571428571,547,0.003395621999516152,True,False,0,medium,n*sqrt(n),
medium,random,random,64,4,10020046,,0.4439484126984127,552,0.003330650997668272,True,False,0,medium,n*sqrt(n),
medium,random,random,64,5,10020047,,0.47271825396825395,537,0.003456591999565717,True,False,0,medium,n*sqrt(n),
medium,random,random,64,6,10020048,,0.45337301587301587,542,0.003358940000907751,True,False,0,medium,n*sqrt(n),
medium,random,random,64,7,10020049,,0.46577380952380953,539,0.0032903270002861973,True,False,0,medium,n*sqrt(n),
medium,random,random,128,1,10030043,,0.4972933070866142,1534,0.005948977999651106,True,False,0,medium,n*sqrt(n),
medium,random,random,128,2,10030044,,0.5362942913385826,1517,0.006003644000884378,True,False,0,medium,n*sqrt(n),
medium,random,random,128,3,10030045,,0.5092273622047244,1511,0.005912747998081613,True,False,0,medium,n*sqrt(n),
medium,random,random,128,4,10030046,,0.5028297244094488,1495,0.005959195998002542,True,False,0,medium,n*sqrt(n),
medium,random,random,128,5,10030047,,0.4671505905511811,1427,0.005711595000320813,True,False,0,medium,n*sqrt(n),
medium,random,random,128,6,10030048,,0.4598917322834646,1521,0.006156372997793369,True,False,0,medium,n*sqrt(n),
medium,random,random,128,7,10030049,,0.5043061023622047,1448,0.005847182997968048,True,False,0,medium,n*sqrt(n),
medium,random,random,256,1,10040043,,0.4983455882352941,4179,0.013414083001407562,True,False,0,medium,n*sqrt(n),
medium,random,random,256,2,10040044,,0.4850796568627451,4223,0.013570109000283992,True,False,0,medium,n*sqrt(n),
medium,random,random,256,3,10040045,,0.5261948529411765,4177,0.013379787000303622,True,False,0,medium,n*sqrt(n),
medium,random,random,256,4,10040046,,0.4727634803921569,4015,0.01326143400001456,True,False,0,medium,n*sqrt(n),
medium,random,random,256,5,10040047,,0.4589767156862745,4273,0.013529632000427227,True,False,0,medium,n*sqrt(n),
medium,random,random,256,6,10040048,,0.47613357843137255,4049,0.012966923000931274,True,False,0,medium,n*sqrt(n),
medium,random,random,256,7,10040049,,0.5001838235294118,4193,0.012576635999721475,True,False,0,medium,n*sqrt(n),
medium,reverse,high,16,1,11000043,1.0,1.0,83,0.002013408000493655,True,False,0,medium,n*sqrt(n),
medium,reverse,high,16,2,11000044,1.0,1.0,83,0.002132480000000214,True,False,0,medium,n*sqrt(n),
medium,reverse,high,16,3,11000045,1.0,1.0,83,0.00201169699721504,True,False,0,medium,n*sqrt(n),
medium,reverse,high,16,4,11000046,1.0,1.0,83,0.0020089319987164345,True,False,0,medium,n*sqrt(n),
medium,reverse,high,16,5,11000047,1.0,1.0,83,0.002226512999186525,True,False,0,medium,n*sqrt(n),
medium,reverse,high,16,6,11000048,1.0,1.0,83,0.0021694979986932594,True,False,0,medium,n*sqrt(n),
medium,reverse,high,16,7,11000049,1.0,1.0,83,0.002180719999159919,True,False,0,medium,n*sqrt(n),
medium,reverse,high,32,1,11010043,1.0,1.0,239,0.0027584939998632763,True,False,0,medium,n*sqrt(n),
medium,reverse,high,32,2,11010044,1.0,1.0,239,0.0026368629987700842,True,False,0,medium,n*sqrt(n),
medium,reverse,high,32,3,11010045,1.0,1.0,239,0.002575214999524178,True,False,0,medium,n*sqrt(n),
medium,reverse,high,32,4,11010046,1.0,1.0,239,0.0025359189967275597,True,False,0,medium,n*sqrt(n),
medium,reverse,high,32,5,11010047,1.0,1.0,239,0.002484880002157297,True,False,0,medium,n*sqrt(n),
medium,reverse,high,32,6,11010048,1.0,1.0,239,0.002519516998290783,True,False,0,medium,n*sqrt(n),
medium,reverse,high,32,7,11010049,1.0,1.0,239,0.002547035001043696,True,False,0,medium,n*sqrt(n),
medium,reverse,high,64,1,11020043,1.0,1.0,583,0.0033952129997487646,True,False,0,medium,n*sqrt(n),
